RANK,ID,CitationCount,CiteScore,SJR
5,12354,16717,10.24,13.39
4,21272,6867,10.19,10
6,21272,6867,10.19,10
2,4700152457,1986,10.18,6.125
4,4700152457,1986,10.18,6.125
4,4700152457,1986,10.18,6.125
5,4700152457,1986,10.18,6.125
14,4700152457,1986,10.18,6.125
10,19084,1443,10.16,5.188
1,19084,1443,10.16,5.188
8,19084,1443,10.16,5.188
4,19084,1443,10.16,5.188
11,19084,1443,10.16,5.188
11,20425,6998,10.14,11.894
1,20425,6998,10.14,11.894
5,20425,6998,10.14,11.894
1,15623,1981,10.11,5.669
1,15623,1981,10.11,5.669
6,29949,28334,10.11,8.883
4,29949,28334,10.11,8.883
2,12854,2170,10.09,4.881
2,12854,2170,10.09,4.881
8,21100201772,4900,10.08,7.044
1,21100198409,9264,10.06,8.256
1,21100198409,9264,10.06,8.256
5,21100403931,1429,10.06,4.683
5,21100403931,1429,10.06,4.683
1,21100403931,1429,10.06,4.683
15,21100403931,1429,10.06,4.683
1,24535,161,10.06,6.105
1,24535,161,10.06,6.105
1,19300156903,100,10,2.428
5,19300156903,100,10,2.428
3,19300156903,100,10,2.428
5,16146,2990,9.97,4.037
6,16146,2990,9.97,4.037
6,26055,18386,9.96,2.728
1,5300152732,5509,9.94,8.338
1,5300152732,5509,9.94,8.338
4,5300152732,5509,9.94,8.338
6,110561,5795,9.92,7.336
4,110561,5795,9.92,7.336
2,16795,2619,9.92,2.612
2,29993,555,9.91,4.941
1,29993,555,9.91,4.941
2,21100338350,1148,9.9,1.669
1,21100338350,1148,9.9,1.669
4,21100338350,1148,9.9,1.669
2,21100338350,1148,9.9,1.669
2,21100338350,1148,9.9,1.669
12,13140,394,9.85,5.298
4,13140,394,9.85,5.298
2,22126,6898,9.81,10.106
8,22126,6898,9.81,10.106
2,22321,2629,9.77,5.218
6,22321,2629,9.77,5.218
1,27130,242,9.68,4.617
7,27130,242,9.68,4.617
5,27130,242,9.68,4.617
5,27130,242,9.68,4.617
1,16860,7894,9.6,11.056
2,12394,6099,9.56,10.947
12,12394,6099,9.56,10.947
5,27567,25254,9.52,3.051
7,64345,826,9.49,5.264
2,18567,1446,9.45,3.246
3,18567,1446,9.45,3.246
8,18567,1446,9.45,3.246
13,4000148205,5798,9.41,8.778
15,4000148205,5798,9.41,8.778
13,4400151524,1654,9.4,2.742
3,4400151524,1654,9.4,2.742
3,4400151524,1654,9.4,2.742
2,17552,4164,9.36,6.472
2,17552,4164,9.36,6.472
1,17552,4164,9.36,6.472
1,13564,514,9.35,4.76
3,21100228547,6110,9.33,8.831
2,26371,2239,9.33,3.458
3,26371,2239,9.33,3.458
9,26371,2239,9.33,3.458
1,28366,8216,9.29,6.799
9,14204,40958,9.28,7.397
1,26053,18972,9.25,2.742
8,26053,18972,9.25,2.742
5,18935,2993,9.15,2.561
9,18935,2993,9.15,2.561
4,17382,5819,9.14,6.917
2,17382,5819,9.14,6.917
14,17382,5819,9.14,6.917
1,18045,6164,9.13,4.52
2,18045,6164,9.13,4.52
2,18045,6164,9.13,4.52
16,18503,3072,9.09,7.266
3,21708,581,9.08,7.543
10,21708,581,9.08,7.543
15,21708,581,9.08,7.543
3,21100207003,2747,9.07,2.355
1,21100207003,2747,9.07,2.355
5,20810,3068,9.05,6.4
7,20810,3068,9.05,6.4
6,21119,487,9.02,2.782
6,21119,487,9.02,2.782
2,21119,487,9.02,2.782
4,21119,487,9.02,2.782
2,12996,2938,8.96,2.536
10,12996,2938,8.96,2.536
3,12996,2938,8.96,2.536
5,20205,2284,8.96,4.789
16,20205,2284,8.96,4.789
3,26769,5084,8.95,5.52
3,26769,5084,8.95,5.52
11,19049,2223,8.93,7.767
7,80280,1587,8.92,3.686
5,80280,1587,8.92,3.686
12,80280,1587,8.92,3.686
9,5800173382,6308,8.91,4.771
5,5800173382,6308,8.91,4.771
3,12878,22369,8.89,4.114
5,12878,22369,8.89,4.114
11,12878,22369,8.89,4.114
2,28200,24302,8.89,2.853
2,28200,24302,8.89,2.853
2,28200,24302,8.89,2.853
7,28200,24302,8.89,2.853
7,28200,24302,8.89,2.853
1,19700180594,133,8.87,21.452
1,19700180594,133,8.87,21.452
1,19700180594,133,8.87,21.452
1,19700180594,133,8.87,21.452
6,21359,1561,8.87,5.611
8,21359,1561,8.87,5.611
1,16343,16430,8.86,2.583
2,16343,16430,8.86,2.583
5,16343,16430,8.86,2.583
2,24069,13013,8.86,2.564
2,24069,13013,8.86,2.564
2,23860,1267,8.8,5.771
1,23860,1267,8.8,5.771
3,19907,976,8.79,2.678
7,19907,976,8.79,2.678
6,19907,976,8.79,2.678
1,19400156815,597,8.78,3.203
4,17809,3070,8.77,4.535
1,15131,8983,8.75,4.768
3,15131,8983,8.75,4.768
2,15131,8983,8.75,4.768
3,15131,8983,8.75,4.768
5,5100155078,35,8.75,3.47
14,144840,5222,8.73,5.951
3,18902,6352,8.73,2.28
11,18902,6352,8.73,2.28
